"QUARTER","ORIGIN","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_STATE_ABR","AIRPORT_GROUP","OP_CARRIER_GROUP","PASSENGERS","MARKET_FARE","MARKET_DISTANCE","ITIN_GEO_TYPE","numLayovers"
1,"ITH","NY",11193,"KY","ITH:DTW:CVG","OO:DL",1,219,582,2,1
1,"JFK","NY",14679,"CA","JFK:SAN","DL",2,340.5,2446,2,0
1,"BUF","NY",10279,"TX","BUF:DFW:AMA","AA:MQ",1,470.53,1524,2,1
1,"DEN","CO",12953,"NY","DEN:LGA","UA",1,224.5,1620,2,0
1,"OMA","NE",12953,"NY","OMA:DTW:LGA","DL:DL",1,314.18,1153,2,1
1,"ABQ","NM",10792,"NY","ABQ:PHX:BUF","WN:WN",1,278.5,2240,2,1
1,"COS","CO",12953,"NY","COS:DEN:LGA","OO:UA",1,289,1693,2,1
1,"CMH","OH",12478,"NY","CMH:JFK","9E",1,253,483,2,0
1,"JFK","NY",12892,"CA","JFK:PHX:LAX","AA:AA",1,296,2523,2,1
1,"LGA","NY",11298,"TX","LGA:DFW","YX",1,211,1389,2,0
1,"LGA","NY",14524,"VA","LGA:IAD:RIC","YV:AX",1,95.5,329,2,1
1,"LGA","NY",15412,"TN","LGA:CLT:TYS","AA:OH",1,256,721,2,1
1,"LGA","NY",11278,"VA","LGA:DCA","AA",2,358,214,2,0
1,"DFW","TX",12197,"NY","DFW:DCA:HPN","AA:OH",1,290.39,1426,2,1
1,"LAS","NV",12478,"NY","LAS:JFK","AA",1,304,2248,2,0
1,"BUF","NY",12266,"TX","BUF:DTW:IAH","9E:9E",1,258.94,1316,2,1
1,"BOS","MA",12953,"NY","BOS:LGA","DL",3,186,184,2,0
1,"ORD","IL",12478,"NY","ORD:JFK","B6",5,133,740,2,0
1,"LGA","NY",12892,"CA","LGA:STL:LAX","WN:WN",1,144.15,2480,2,1
1,"ROC","NY",13303,"FL","ROC:EWR:MIA","EV:UA",2,111,1331,2,1
1,"SYR","NY",12892,"CA","SYR:EWR:LAX","C5:UA",1,486.36,2649,2,1
1,"BUF","NY",11618,"NJ","BUF:EWR","YX",1,139,282,2,0
1,"ALB","NY",11042,"OH","ALB:BWI:CLE","WN:WN",1,179.5,603,2,1
1,"FLL","FL",12478,"NY","FLL:JFK","DL",1,145.5,1069,2,0
1,"JFK","NY",14683,"TX","JFK:SAT","DL",10,198,1587,2,0
1,"ISP","NY",15304,"FL","ISP:TPA","WN",24,129.5,1034,2,0
1,"SAT","TX",12478,"NY","SAT:JFK","DL",1,286.5,1587,2,0
1,"SAN","CA",12478,"NY","SAN:MIA:JFK","AA:AA",1,392.17,3356,2,1
1,"LGA","NY",13204,"FL","LGA:BNA:MCO","WN:WN",1,171,1380,2,1
1,"JFK","NY",10792,"NY","JFK:BUF","9E",1,76.46,301,2,0
1,"LGA","NY",13303,"FL","LGA:MIA","AA",3,163.02,1096,2,0
1,"TPA","FL",12953,"NY","TPA:LGA","DL",1,227.06,1010,2,0
1,"JFK","NY",11292,"CO","JFK:DEN","B6",1,285.5,1626,2,0
1,"HNL","HI",12478,"NY","HNL:JFK","DL",1,376.69,4983,1,0
1,"BUF","NY",11618,"NJ","BUF:EWR","EV",1,156,282,2,0
1,"DFW","TX",12478,"NY","DFW:JFK","AA",1,161.12,1391,2,0
1,"MBS","MI",12953,"NY","MBS:ORD:LGA","OO:YX",1,438,955,2,1
1,"ROC","NY",12992,"AR","ROC:ORD:LIT","MQ:MQ",1,396,1080,2,1
1,"DAL","TX",12953,"NY","DAL:LGA","VX",13,126.5,1381,2,0
1,"IAH","TX",12953,"NY","IAH:LGA","UA",3,416.5,1416,2,0
1,"JFK","NY",15024,"VI","JFK:STT","DL",1,84.5,1623,1,0
1,"PBI","FL",12478,"NY","PBI:JFK","DL",1,190.85,1028,2,0
1,"STL","MO",12953,"NY","STL:LGA","9E",1,443,888,2,0
1,"LGA","NY",13198,"MO","LGA:MCI","WN",1,143,1107,2,0
1,"SEA","WA",12478,"NY","SEA:JFK","DL",1,310,2422,2,0
1,"BOS","MA",12953,"NY","BOS:LGA","AA",12,58,184,2,0
1,"RSW","FL",12478,"NY","RSW:JFK","B6",1,128,1074,2,0
1,"ORD","IL",10792,"NY","ORD:BUF","OO",1,268.5,474,2,0
1,"SYR","NY",10397,"GA","SYR:ORD:ATL","G7:OO",1,384.74,1213,2,1
1,"HPN","NY",10994,"SC","HPN:DCA:CHS","OH:OH",1,106,678,2,1
1,"DEN","CO",12953,"NY","DEN:LGA","UA",1,204,1620,2,0
1,"LIT","AR",12953,"NY","LIT:ATL:MCO:LGA","DL:DL:DL",1,629.04,1807,2,2
1,"DAL","TX",14576,"NY","DAL:BWI:ROC","WN:WN",1,263,1486,2,1
1,"LGA","NY",14107,"AZ","LGA:MDW:PHX","WN:WN",1,279.14,2169,2,1
1,"PBI","FL",12953,"NY","PBI:LGA","DL",1,185.5,1035,2,0
1,"JFK","NY",13303,"FL","JFK:MIA","AA",1,141,1089,2,0
1,"PHL","PA",12953,"NY","PHL:LGA","AA",1,246,96,2,0
1,"ANC","AK",15096,"NY","ANC:ORD:SYR","UA:OO",1,274,3453,1,1
1,"ALB","NY",12889,"NV","ALB:LAS","WN",1,287.2,2237,2,0
1,"DEN","CO",12478,"NY","DEN:JFK","DL",1,253.5,1626,2,0
1,"DEN","CO",10257,"NY","DEN:BWI:ALB","WN:WN",1,136.5,1780,2,1
1,"LAX","CA",10792,"NY","LAX:MSP:BUF","DL:OO",2,291,2270,2,1
1,"JFK","NY",13830,"HI","JFK:HNL:OGG","HA:HA",1,435.5,5083,1,1
1,"JFK","NY",15016,"MO","JFK:ORD:STL","AA:AA",1,1293,998,2,1
1,"SFO","CA",12953,"NY","SFO:SLC:DEN:LGA","DL:OO:DL",1,409,2610,2,2
1,"MLU","LA",12953,"NY","MLU:ATL:LGA","EV:DL",1,144,1210,2,1
1,"LGA","NY",13577,"SC","LGA:MYR","NK",1,143,563,2,0
1,"ALB","NY",15304,"FL","ALB:TPA","WN",29,120,1130,2,0
1,"LGA","NY",11697,"FL","LGA:FLL","DL",2,117.5,1076,2,0
1,"ATL","GA",12953,"NY","ATL:LGA","DL",16,178,762,2,0
1,"MSP","MN",12953,"NY","MSP:LGA","DL",1,319.88,1020,2,0
1,"LAS","NV",12478,"NY","LAS:JFK","AA",1,340,2248,2,0
1,"RNO","NV",12478,"NY","RNO:JFK","B6",1,263,2411,2,0
1,"FLL","FL",12953,"NY","FLL:LGA","B6",3,216,1076,2,0
1,"BUF","NY",13204,"FL","BUF:ATL:MCO","DL:DL",2,191,1116,2,1
1,"MDT","PA",10792,"NY","MDT:PHL:BUF","PT:ZW",1,148.5,363,2,1
1,"LGA","NY",13303,"FL","LGA:MIA","DL",1,168.23,1096,2,0
1,"SLK","NY",12264,"VA","SLK:BOS:IAD","9K:YV",1,261,626,2,1
1,"JFK","NY",10994,"SC","JFK:CLT:CHS","AA:AA",1,365,709,2,1
1,"LGA","NY",14492,"NC","LGA:PHL:RDU","--:AA",1,83.37,433,2,1
1,"ATL","GA",12197,"NY","ATL:HPN","EV",1,172.59,780,2,0
1,"MBS","MI",12953,"NY","MBS:DTW:LGA","9E:DL",1,138.5,600,2,1
1,"LGA","NY",14492,"NC","LGA:RDU","YX",1,93,431,2,0
1,"MIA","FL",14576,"NY","MIA:DCA:ROC","AA:ZW",1,148.01,1215,2,1
1,"BUF","NY",13303,"FL","BUF:DCA:MIA","YX:AA",1,80,1215,2,1
1,"LGA","NY",13204,"FL","LGA:CLT:MCO","AA:AA",3,85,1012,2,1
1,"MCO","FL",12478,"NY","MCO:JFK","DL",1,178,944,2,0
1,"LAS","NV",10792,"NY","LAS:BUF","WN",1,139.42,1986,2,0
1,"RDU","NC",10257,"NY","RDU:PHL:ALB","OH:PT",1,345,549,2,1
1,"IND","IN",12953,"NY","IND:LGA","9E",1,234,660,2,0
1,"MSN","WI",12397,"NY","MSN:DTW:ITH","DL:OO",1,571,664,2,1
1,"SYR","NY",11298,"TX","SYR:CLT:DFW","AA:AA",1,367,1539,2,1
1,"HDN","CO",12953,"NY","HDN:ORD:LGA","MQ:AA",2,270.5,1742,2,1
1,"JFK","NY",14893,"CA","JFK:LAX:SMF","AA:CP",4,203,2848,2,1
1,"ALB","NY",13796,"CA","ALB:LAS:OAK","WN:WN",1,229.51,2644,2,1
1,"JFK","NY",10423,"TX","JFK:AUS","B6",3,219,1521,2,0
1,"BUF","NY",12266,"TX","BUF:CLT:IAH","AA:AA",1,159.73,1458,2,1
1,"IAD","VA",12953,"NY","IAD:LGA","YV",1,171.5,229,2,0
1,"LGA","NY",11298,"TX","LGA:ORD:DFW","AA:AA",1,471.42,1535,2,1
1,"DFW","TX",12953,"NY","DFW:LGA","YX",1,117.53,1389,2,0
2,"LAS","NV",12478,"NY","LAS:JFK","AA",8,163.5,2248,2,0
2,"LGA","NY",11042,"OH","LGA:CLE","EV",1,138.01,419,2,0
2,"IND","IN",12391,"NY","IND:BWI:ISP","WN:WN",2,195.5,736,2,1
2,"ISP","NY",10821,"MD","ISP:BWI","WN",2,227,220,2,0
2,"FLL","FL",12391,"NY","FLL:ISP","WN",1,207.95,1092,2,0
2,"LGA","NY",13930,"IL","LGA:ORD","YX",6,197,733,2,0
2,"JFK","NY",10800,"CA","JFK:BUR","B6",2,301.5,2465,2,0
2,"DCA","VA",12478,"NY","DCA:JFK","AA",1,128.5,213,2,0
2,"PIT","PA",12478,"NY","PIT:JFK","9E",1,359,340,2,0
2,"ROC","NY",12478,"NY","ROC:JFK","9E",1,142.5,264,2,0
2,"ORD","IL",12478,"NY","ORD:DTW:JFK","YX:DL",1,125,744,2,1
2,"JFK","NY",14489,"OR","JFK:SLC:RDM","DL:OO",1,738.5,2515,2,1
2,"JFK","NY",12889,"NV","JFK:LAS","B6",8,238,2248,2,0
2,"BOS","MA",12953,"NY","BOS:LGA","DL",6,198,184,2,0
2,"LGA","NY",10397,"GA","LGA:ATL","AA",1,208,762,2,0
2,"LAX","CA",12397,"NY","LAX:PHL:ITH","AA:PT",1,432,2594,2,1
2,"LGA","NY",11433,"MI","LGA:DTW","DL",1,180.01,502,2,0
2,"DAL","TX",12953,"NY","DAL:LGA","WN",8,93.5,1381,2,0
2,"CVG","KY",12953,"NY","CVG:LGA","9E",1,503,585,2,0
2,"BTV","VT",12953,"NY","BTV:LGA","9E",2,121,258,2,0
2,"BUF","NY",10721,"MA","BUF:BOS","ZW",2,117.5,395,2,0
2,"JFK","NY",13487,"MN","JFK:MSP","SY",27,166,1029,2,0
2,"LAX","CA",12478,"NY","LAX:JFK","B6",16,414,2475,2,0
2,"ISP","NY",14027,"FL","ISP:BWI:PBI","WN:WN",1,150.5,1103,2,1
2,"LAS","NV",12478,"NY","LAS:JFK","DL",1,620,2248,2,0
2,"EWR","NJ",15096,"NY","EWR:SYR","C5",1,218.5,195,2,0
2,"SYR","NY",13930,"IL","SYR:ORD","UA",1,159,607,2,0
2,"SAN","CA",12478,"NY","SAN:JFK","DL",9,208,2446,2,0
2,"BUF","NY",11617,"NC","BUF:CLT:EWN","AA:ZW",1,178,767,2,1
2,"PBI","FL",12953,"NY","PBI:ATL:LGA","WN:WN",1,268.5,1307,2,1
2,"SYR","NY",14635,"FL","SYR:ATL:RSW","DL:DL",1,116.85,1309,2,1
2,"BGM","NY",13577,"SC","BGM:DTW:MYR","OO:DL",1,1320,1014,2,1
2,"LGA","NY",10397,"GA","LGA:ATL","DL",1,439.5,762,2,0
2,"DEN","CO",10257,"NY","DEN:ALB","WN",3,156,1610,2,0
2,"IAH","TX",12953,"NY","IAH:LGA","YX",1,424.46,1416,2,0
2,"KOA","HI",12478,"NY","KOA:HNL:LAX:JFK","HA:DL:DL",1,3030,5194,1,2
2,"MCO","FL",12478,"NY","MCO:JFK","B6",2,116.63,944,2,0
2,"ROC","NY",10140,"NM","ROC:BWI:ABQ","WN:WN",1,545.59,1947,2,1
2,"ROC","NY",10599,"AL","ROC:DTW:BHM","9E:G7",1,172.43,921,2,1
2,"TPA","FL",14576,"NY","TPA:BWI:ROC","WN:WN",1,296.5,1119,2,1
2,"BUF","NY",11697,"FL","BUF:FLL","B6",2,171,1166,2,0
2,"ALB","NY",14771,"CA","ALB:PHL:SFO","AA:AA",1,179.9,2733,2,1
2,"LGA","NY",12266,"TX","LGA:IAH","UA",1,563,1416,2,0
2,"LAX","CA",12478,"NY","LAX:JFK","DL",1,1207,2475,2,0
2,"LGA","NY",14122,"PA","LGA:PIT","MQ",1,58.63,335,2,0
2,"MSP","MN",12953,"NY","MSP:LGA","DL",1,448,1020,2,0
2,"ART","NY",15624,"FL","ART:PHL:CLT:VPS","PT:AA:OH",1,531,1196,2,2
2,"JFK","NY",14492,"NC","JFK:RDU","9E",6,118,427,2,0
2,"LAX","CA",12478,"NY","LAX:JFK","DL",20,289,2475,2,0
2,"HPN","NY",11433,"MI","HPN:DTW","9E",2,174,505,2,0
2,"DTW","MI",14576,"NY","DTW:ROC","9E",1,298,296,2,0
2,"PBI","FL",12197,"NY","PBI:HPN","B6",3,285,1056,2,0
2,"BOS","MA",12953,"NY","BOS:LGA","DL",1,234.5,184,2,0
2,"LAX","CA",14576,"NY","LAX:CLT:ROC","AA:AA",1,459,2698,2,1
2,"BNA","TN",12953,"NY","BNA:LGA","YX",1,164.5,764,2,0
2,"ALB","NY",13487,"MN","ALB:DTW:MSP","9E:DL",1,391,1017,2,1
2,"LGA","NY",13303,"FL","LGA:MIA","AA",1,106,1096,2,0
2,"FLL","FL",12953,"NY","FLL:CLT:LGA","AA:AA",1,75,1176,2,1
2,"LGA","NY",14524,"VA","LGA:RIC","MQ",1,376.5,292,2,0
2,"LAX","CA",12478,"NY","LAX:JFK","VX",1,404.5,2475,2,0
2,"ROC","NY",13487,"MN","ROC:DTW:MSP","OO:DL",1,289.71,824,2,1
2,"CLE","OH",12953,"NY","CLE:LGA","EV",1,437.5,419,2,0
2,"LAN","MI",10792,"NY","LAN:DTW:BUF","OO:G7",1,137,315,2,1
2,"JFK","NY",11298,"TX","JFK:CMH:DFW","MQ:AA",1,104,1409,2,1
2,"FLL","FL",14576,"NY","FLL:ATL:ROC","DL:DL",1,182,1330,2,1
2,"LSE","WI",12953,"NY","LSE:ORD:LGA","OO:AA",1,424.5,948,2,1
2,"JFK","NY",14321,"ME","JFK:PWM","B6",1,125,273,2,0
2,"PHX","AZ",12478,"NY","PHX:JFK","B6",1,127.5,2153,2,0
2,"DSM","IA",10257,"NY","DSM:CLT:ALB","OH:AA",1,410.7,1461,2,1
2,"MSO","MT",12478,"NY","MSO:SLC:JFK","OO:DL",1,401.26,2426,2,1
2,"LGA","NY",10397,"GA","LGA:ATL","YX",1,63,762,2,0
2,"HOU","TX",10792,"NY","HOU:MDW:BUF","WN:WN",1,1058,1405,2,1
2,"SAN","CA",14576,"NY","SAN:MSP:ROC","DL:DL",1,209,2315,2,1
2,"ORD","IL",12953,"NY","ORD:LGA","YX",8,139.5,733,2,0
2,"MSY","LA",12953,"NY","MSY:PHL:LGA","AA:AA",1,139,1185,2,1
2,"ILM","NC",12953,"NY","ILM:LGA","ZW",4,114,500,2,0
2,"SJU","PR",12478,"NY","SJU:JFK","DL",1,262.5,1598,1,0
2,"HPN","NY",13930,"IL","HPN:ORD","MQ",1,167.57,738,2,0
2,"IAG","NY",11697,"FL","IAG:FLL","G4",1,65,1176,2,0
2,"LGA","NY",11697,"FL","LGA:FLL","DL",1,84.78,1076,2,0
2,"LGA","NY",11298,"TX","LGA:DFW","YX",2,228,1389,2,0
2,"MCO","FL",12478,"NY","MCO:JFK","AA",1,359,944,2,0
2,"ISP","NY",13495,"LA","ISP:BWI:MSY","WN:WN",1,170,1218,2,1
2,"ATL","GA",12953,"NY","ATL:JFK:LGA","DL:--",3,202.73,771,2,1
2,"LGA","NY",11057,"NC","LGA:CLT","9E",1,110.81,544,2,0
2,"JFK","NY",14771,"CA","JFK:SFO","DL",4,314,2586,2,0
2,"SYR","NY",13204,"FL","SYR:PHL:MCO","ZW:AA",1,126,1089,2,1
2,"MCO","FL",12953,"NY","MCO:LGA","AA",19,106,950,2,0
2,"JFK","NY",11423,"IA","JFK:DCA:DSM","YX:OH",1,191.91,1110,2,1
2,"JFK","NY",13930,"IL","JFK:ORD","B6",1,137.5,740,2,0
2,"SYR","NY",12266,"TX","SYR:PHL:IAH","PT:YX",1,489,1553,2,1
2,"LGA","NY",10397,"GA","LGA:CAE:ATL","EV:DL",1,217.31,809,2,1
2,"PHL","PA",10257,"NY","PHL:ALB","PT",1,275.85,212,2,0
2,"JFK","NY",14107,"AZ","JFK:PHX","AA",1,219,2153,2,0
2,"SYR","NY",13204,"FL","SYR:CLT:MCO","AA:AA",1,353,1071,2,1
2,"LGA","NY",13204,"FL","LGA:CLE:MCO","YX:UA",1,177,1314,2,1
2,"PDX","OR",12953,"NY","PDX:DFW:LGA","AA:AA",1,1094.12,3005,2,1
2,"IAH","TX",12953,"NY","IAH:LGA","UA",1,732.5,1416,2,0
